Specimen,Drive,f_Hz,LoopAreaShoelace_J_per_m3,LoopAreaParametric_J_per_m3,EnergyLossPerCycle_J_per_m3,PowerLoss_W_per_m3,Br_T,Hc_A_per_m,dBdH_0,R2_Vx,R2_Vy
Transformer Stampings,C-V1,50.04192657284142,476.29235767101636,476.16097540291383,476.16097540291383,23828.012567965165,0.010658980812032356,491.8290089871663,2.209296844440167e-05,0.9998365508023325,0.9996243677672779
Transformer Stampings,C-V2,49.99865579112608,264.6868561775773,281.34349859288136,281.34349859288136,14066.796745216641,0.007069520507532163,132.31304533401882,5.250830858780392e-05,0.9998771016829707,0.999118061678272
Transformer Stampings,C-V3,49.96395302583346,302.7269481304684,335.12564931324243,335.12564931324243,16744.202200038784,0.007907982218046845,149.1541456445267,5.314330875147729e-05,0.9998825945603784,0.9992872653091139
Ferrite Rod,C-V1,49.95041266439793,49.35624515663949,52.555065012369695,52.555065012369695,2625.147184972128,0.0025510081247617916,86.38881470122017,2.898895949010171e-05,0.9997802377244072,0.9994143556371486
Ferrite Rod,C-V2,49.93113627278241,78.91776963855955,85.6172767771122,85.6172767771122,4274.967914062518,0.003278426471081664,113.72084317326261,2.840522481692211e-05,0.9998502481825083,0.9996687505447972
Ferrite Rod,C-V3,49.954901819167105,187.65488330379594,207.7473693815084,207.7473693815084,10377.999440643494,0.004592165930767613,101.54226038924257,4.47948973129555e-05,0.9998578111920631,0.9996087212655305
Iron Nail,C-V1,49.946118660521876,539.6373147101986,553.1059361579341,553.1059361579341,27625.494719183214,0.022220135152716168,442.56924645516244,5.049719702407149e-05,0.9997539659819777,0.9989403074451759
Iron Nail,C-V2,49.96804679946085,1111.519619702478,1139.7196295312715,1139.7196295312715,56949.56378668276,0.031436556951303554,608.069974435391,5.221478705061857e-05,0.9998677365741899,0.9994541343389045
Iron Nail,C-V3,49.97420686629727,1886.563142974046,1936.3628934094872,1936.3628934094872,96768.19980346765,0.04100115751763455,773.2741523517752,5.3824951971653205e-05,0.9998506020344158,0.9996644021805825
Hacksaw Blade,C-V1,49.94914530621894,481.8487135113537,476.45518428711,476.45518428711,23798.529231858178,0.03631536927126872,229.5363842890805,0.000203125101265559,0.9998666253244668,0.999799390933998
Hacksaw Blade,C-V2,49.9237775948388,793.7255643378885,784.7785209491879,784.7785209491879,39179.1083410738,0.04426916096658292,290.6793363992199,0.00020517833910333705,0.9998631687529598,0.9998769011433571
Hacksaw Blade,C-V3,49.937872891860536,989.9277460507874,978.6686772276155,978.6686772276155,48872.63200663795,0.050689148043204894,333.6499537768862,0.00020379481760070224,0.9999057414222722,0.99990137757373
